case_id,left_run_id,right_run_id,left_method,right_method,left_tree_inference,right_tree_inference,partition_ari
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_complete,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,complete,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_average,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,average,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_centroid,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,centroid,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,median,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,neighbor_joining,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,single,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_complete,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,complete,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_average,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,average,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_centroid,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,centroid,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,median,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,neighbor_joining,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,single,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_complete,family_metric_tree_linkage_method_average,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,complete,average,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_complete,family_metric_tree_linkage_method_centroid,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,complete,centroid,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_complete,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,complete,median,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_complete,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,complete,neighbor_joining,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_complete,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,complete,single,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_average,family_metric_tree_linkage_method_centroid,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,average,centroid,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_average,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,average,median,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_average,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,average,neighbor_joining,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_average,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,average,single,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_centroid,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,centroid,median,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_centroid,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,centroid,neighbor_joining,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_centroid,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,centroid,single,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_median,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,median,neighbor_joining,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_linkage_method_median,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,median,single,1.0
gauss_clear_medium_continuous::normalized_branch_length,family_metric_tree_builder_neighbor_joining,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,neighbor_joining,single,1.0
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_ward,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,ward,
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_complete,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,complete,
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_average,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,average,
cont_lowrank_pggn_shrinkage::none,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_centroid,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,centroid,
