metric_family,branch_time_mode,tree_inference,ok_cells,mean_found_clusters,mean_ari,median_ari,mean_nmi,median_nmi,mean_macro_f1,median_macro_f1,mean_purity,median_purity,mean_silhouette_score,median_silhouette_score,mean_davies_bouldin_index,median_davies_bouldin_index,mean_calinski_harabasz_index,median_calinski_harabasz_index,mean_largest_cluster_fraction,median_largest_cluster_fraction,mean_singleton_fraction,median_singleton_fraction,mean_nnls_normalized_residual_rmse,median_nnls_normalized_residual_rmse,mean_root_smaller_child_fraction,median_root_smaller_child_fraction,mean_topology_kcut_ari,median_topology_kcut_ari,mean_topology_kcut_nmi,median_topology_kcut_nmi,mean_topology_kcut_macro_f1,median_topology_kcut_macro_f1,mean_topology_kcut_silhouette_score,median_topology_kcut_silhouette_score,mean_topology_kcut_largest_cluster_fraction,median_topology_kcut_largest_cluster_fraction,mean_topology_exact_true_cluster_clade_fraction,median_topology_exact_true_cluster_clade_fraction,mean_topology_weighted_true_cluster_clade_purity,median_topology_weighted_true_cluster_clade_purity,mean_root_sibling_p_value_corrected,median_root_sibling_p_value_corrected,mean_min_edge_open_sibling_p_value_corrected,median_min_edge_open_sibling_p_value_corrected
categorical,none,weighted,1,3.0,0.7079646017699115,0.7079646017699115,0.8571428571428572,0.8571428571428572,0.6666666666666666,0.6666666666666666,0.75,0.75,0.0791806528632415,0.0791806528632415,2.963268813351819,2.963268813351819,9.883992005430278,9.883992005430278,0.5,0.5,0.0,0.0,0.0881877890311457,0.0881877890311457,0.25,0.25,0.0001515763945028,0.0001515763945028,0.0542591399859466,0.0542591399859466,0.1409205548549811,0.1409205548549811,-0.0664885618247141,-0.0664885618247141,0.97,0.97,1.0,1.0,1.0,1.0,4.651199057184911e-05,4.651199057184911e-05,4.651199057184911e-05,4.651199057184911e-05
categorical,normalized_branch_length,average,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.119729058619341,0.119729058619341,2.634590701404755,2.634590701404755,13.255644160907323,13.255644160907323,0.25,0.25,0.0,0.0,0.0882501924564751,0.0882501924564751,0.25,0.25,-0.0004042037186742,-0.0004042037186742,0.0537227324156414,0.0537227324156414,0.1601513240857503,0.1601513240857503,-0.0586325743323175,-0.0586325743323175,0.97,0.97,1.0,1.0,1.0,1.0,1.4371492128751586e-11,1.4371492128751586e-11,1.4371492128751586e-11,1.4371492128751586e-11
categorical,normalized_branch_length,centroid,1,3.0,0.7079646017699115,0.7079646017699115,0.8571428571428572,0.8571428571428572,0.6666666666666666,0.6666666666666666,0.75,0.75,0.0791806528632415,0.0791806528632415,2.963268813351819,2.963268813351819,9.883992005430278,9.883992005430278,0.5,0.5,0.0,0.0,0.0882178588803731,0.0882178588803731,0.25,0.25,0.0001515763945028,0.0001515763945028,0.0542591399859466,0.0542591399859466,0.1409205548549811,0.1409205548549811,-0.0664885618247141,-0.0664885618247141,0.97,0.97,1.0,1.0,1.0,1.0,2.91628524822897e-09,2.91628524822897e-09,2.91628524822897e-09,2.91628524822897e-09
categorical,normalized_branch_length,complete,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.119729058619341,0.119729058619341,2.634590701404755,2.634590701404755,13.255644160907323,13.255644160907323,0.25,0.25,0.0,0.0,0.0883267827299035,0.0883267827299035,0.25,0.25,-0.0004042037186742,-0.0004042037186742,0.0537227324156414,0.0537227324156414,0.1601513240857503,0.1601513240857503,-0.0586325743323175,-0.0586325743323175,0.97,0.97,1.0,1.0,1.0,1.0,2.053056635857008e-09,2.053056635857008e-09,2.053056635857008e-09,2.053056635857008e-09
categorical,normalized_branch_length,median,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.119729058619341,0.119729058619341,2.634590701404755,2.634590701404755,13.255644160907323,13.255644160907323,0.25,0.25,0.0,0.0,0.0881553758816068,0.0881553758816068,0.25,0.25,0.0001515763945028,0.0001515763945028,0.0542591399859466,0.0542591399859466,0.1409205548549811,0.1409205548549811,-0.0664885618247141,-0.0664885618247141,0.97,0.97,1.0,1.0,1.0,1.0,5.913713464722474e-12,5.913713464722474e-12,5.913713464722474e-12,5.913713464722474e-12
categorical,normalized_branch_length,neighbor_joining,1,3.0,0.7079646017699115,0.7079646017699115,0.8571428571428572,0.8571428571428572,0.6666666666666666,0.6666666666666666,0.75,0.75,0.0872161523149656,0.0872161523149656,2.7963614369610994,2.7963614369610994,10.764534527637425,10.764534527637425,0.5,0.5,0.0,0.0,0.0870547250389076,0.0870547250389076,0.25,0.25,0.0001515763945028,0.0001515763945028,0.0542591399859466,0.0542591399859466,0.1409205548549811,0.1409205548549811,-0.0615569672089506,-0.0615569672089506,0.97,0.97,0.75,0.75,0.875,0.875,3.355848405172286e-09,3.355848405172286e-09,3.355848405172286e-09,3.355848405172286e-09
categorical,normalized_branch_length,single,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.119729058619341,0.119729058619341,2.634590701404755,2.634590701404755,13.255644160907323,13.255644160907323,0.25,0.25,0.0,0.0,0.0879215005932095,0.0879215005932095,0.25,0.25,0.0001515763945028,0.0001515763945028,0.0542591399859466,0.0542591399859466,0.1409205548549811,0.1409205548549811,-0.0615569672089506,-0.0615569672089506,0.97,0.97,1.0,1.0,1.0,1.0,6.844963232740324e-13,6.844963232740324e-13,6.844963232740324e-13,6.844963232740324e-13
categorical,normalized_branch_length,ward,1,3.0,0.7079646017699115,0.7079646017699115,0.8571428571428572,0.8571428571428572,0.6666666666666666,0.6666666666666666,0.75,0.75,0.0791806528632415,0.0791806528632415,2.963268813351819,2.963268813351819,9.883992005430278,9.883992005430278,0.5,0.5,0.0,0.0,0.0884678875847117,0.0884678875847117,0.25,0.25,-0.0004042037186742,-0.0004042037186742,0.0537227324156414,0.0537227324156414,0.1601513240857503,0.1601513240857503,-0.0586325743323175,-0.0586325743323175,0.97,0.97,1.0,1.0,1.0,1.0,1.213467019834892e-06,1.213467019834892e-06,1.213467019834892e-06,1.213467019834892e-06
categorical,normalized_branch_length,weighted,1,3.0,0.7079646017699115,0.7079646017699115,0.8571428571428572,0.8571428571428572,0.6666666666666666,0.6666666666666666,0.75,0.75,0.0791806528632415,0.0791806528632415,2.963268813351819,2.963268813351819,9.883992005430278,9.883992005430278,0.5,0.5,0.0,0.0,0.0881877890311457,0.0881877890311457,0.25,0.25,0.0001515763945028,0.0001515763945028,0.0542591399859466,0.0542591399859466,0.1409205548549811,0.1409205548549811,-0.0664885618247141,-0.0664885618247141,0.97,0.97,1.0,1.0,1.0,1.0,4.355510175378017e-05,4.355510175378017e-05,4.355510175378017e-05,4.355510175378017e-05
continuous_gaussian,none,average,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.0334434399805379,0.0334434399805379,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,0.1239042602776348,0.1239042602776348,0.1239042602776348,0.1239042602776348
