case_id,test_case,tree_inference,sibling_alpha,edge_alpha,status,found_clusters,labels_length,largest_cluster_fraction,ari,nmi,macro_f1,live_nodes_visited,live_internal_tuples,live_split_count,live_pass_through_count,live_boundary_count,live_passthrough_candidate_count,live_passthrough_support_blocked_count,full_edge_nodes_visited,full_edge_internal_tuples,full_edge_continue_count,full_edge_stop_count,full_edge_leaf_stop_count,full_edge_non_binary_stop_count,full_edge_closed_stop_count,full_edge_passthrough_candidate_count,full_edge_passthrough_support_blocked_count,full_edge_missing_branch_length_count
overlap_extreme_4c,89,median,0.025,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,21,11,10,11,10,0,1,0,0,0
overlap_extreme_4c,89,neighbor_joining,0.025,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,111,56,55,56,55,0,1,0,0,0
overlap_extreme_4c,89,ward,0.025,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,495,251,247,248,244,0,4,0,0,0
cont_lowrank_pggn_shrinkage,117,average,0.025,0.001,ok,1,80,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,complete,0.025,0.001,ok,1,80,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,single,0.025,0.001,ok,1,80,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,ward,0.025,0.001,ok,1,80,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,weighted,0.025,0.001,ok,1,80,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
sbm_moderate,60,complete,0.05,0.001,ok,1,120,1.0,0.0,0.0,0.19607843137254902,1,1,0,0,1,0,0,7,7,3,4,0,0,4,0,0,0
sbm_moderate,60,neighbor_joining,0.05,0.001,ok,1,120,1.0,0.0,0.0,0.19607843137254902,1,1,0,0,1,0,0,13,10,6,7,3,0,4,0,0,0
sbm_moderate,60,ward,0.05,0.001,ok,3,120,0.8333333333333334,0.07693684891315511,0.14009854716191475,0.4559694107062528,5,5,2,0,3,0,0,13,12,6,7,1,0,6,0,0,0
sbm_hard,61,average,0.05,0.001,ok,2,120,0.9833333333333333,-0.000277815373875382,0.011540140491496742,0.18464938718103277,3,3,1,0,2,0,0,3,3,1,2,0,0,2,0,0,0
sbm_hard,61,centroid,0.05,0.001,ok,2,120,0.9833333333333333,-0.000277815373875382,0.011540140491496742,0.18464938718103277,3,3,1,0,2,0,0,3,3,1,2,0,0,2,0,0,0
sbm_hard,61,single,0.05,0.001,ok,2,120,0.9833333333333333,-0.000277815373875382,0.011540140491496742,0.18464938718103277,3,3,1,0,2,0,0,3,3,1,2,0,0,2,0,0,0
overlap_heavy_8c_large_feat,88,average,0.05,0.001,ok,1,800,1.0,0.0,0.0,0.027777777777777776,1,1,0,0,1,0,0,171,88,85,86,83,0,3,0,0,0
overlap_heavy_8c_large_feat,88,complete,0.05,0.001,ok,1,800,1.0,0.0,0.0,0.027777777777777776,1,1,0,0,1,0,0,707,356,353,354,351,0,3,0,0,0
overlap_heavy_8c_large_feat,88,neighbor_joining,0.05,0.001,ok,1,800,1.0,0.0,0.0,0.027777777777777776,1,1,0,0,1,0,0,1517,760,758,759,757,0,2,0,0,0
overlap_heavy_8c_large_feat,88,single,0.05,0.001,ok,1,800,1.0,0.0,0.0,0.027777777777777776,1,1,0,0,1,0,0,7,4,3,4,3,0,1,0,0,0
overlap_heavy_8c_large_feat,88,weighted,0.05,0.001,ok,1,800,1.0,0.0,0.0,0.027777777777777776,1,1,0,0,1,0,0,1543,778,771,772,765,0,7,0,0,0
overlap_extreme_4c,89,complete,0.05,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,11,6,5,6,5,0,1,0,0,0
overlap_extreme_4c,89,median,0.05,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,21,11,10,11,10,0,1,0,0,0
overlap_extreme_4c,89,neighbor_joining,0.05,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,111,56,55,56,55,0,1,0,0,0
